Date,Gameweek,HomeTeam,HomeScore,AwayTeam,AwayScore,Venue,Attendance
1888-09-08,1,Bolton Wanderers,3,Derby County,6,Pikes Lane Bolton,3000
1888-09-08,1,Everton,2,Accrington,1,Anfield Liverpool,8000
1888-09-08,1,Preston North End,5,Burnley,2,Deepdale Preston,5000
1888-09-08,1,Stoke,0,West Bromwich Albion,2,Victoria Ground Stoke,4500
1888-09-08,1,Wolverhampton Wanderers,1,Aston Villa,1,Dudley Road Wolverhampton,2500
1888-09-15,2,Aston Villa,5,Stoke,1,Wellington Road Perry Barr Birmingham,4000
1888-09-15,2,Blackburn Rovers,5,Accrington,5,Leamington Road Blackburn,4000
1888-09-15,2,Bolton Wanderers,3,Burnley,4,Pikes Lane Bolton,4000
1888-09-15,2,Derby County,1,West Bromwich Albion,2,Racecourse Ground Derby,3000
1888-09-15,2,Everton,2,Notts County,1,Anfield Liverpool,7000
1888-09-15,2,Wolverhampton Wanderers,0,Preston North End,4,Dudley Road Wolverhampton,5000
1888-09-22,3,Aston Villa,2,Everton,1,Wellington Road Perry Barr Birmingham,4000
1888-09-22,3,Blackburn Rovers,6,West Bromwich Albion,2,Leamington Road Blackburn,8000
1888-09-22,3,Derby County,1,Accrington,1,Racecourse Ground Derby,3000
1888-09-22,3,Preston North End,3,Bolton Wanderers,1,Deepdale Preston,5000
1888-09-22,3,Stoke,3,Notts County,0,Victoria Ground Stoke,3000
1888-09-22,3,Wolverhampton Wanderers,4,Burnley,1,Dudley Road Wolverhampton,4000
1888-09-29,4,Aston Villa,9,Notts County,1,Wellington Road Perry Barr Birmingham,4000
1888-09-29,4,Bolton Wanderers,6,Everton,2,Pikes Lane Bolton,5000
1888-09-29,4,Derby County,2,Preston North End,3,Racecourse Ground Derby,6000
1888-09-29,4,Stoke,2,Accrington,4,Victoria Ground Stoke,3000
1888-09-29,4,West Bromwich Albion,4,Burnley,3,Stoney Lane West Bromwich,2100
1888-09-29,4,Wolverhampton Wanderers,2,Blackburn Rovers,2,Dudley Road Wolverhampton,5000
1888-10-06,5,Accrington,4,Wolverhampton Wanderers,4,Thorneyholme Road Accrington,4000
1888-10-06,5,Burnley,4,Bolton Wanderers,1,Turf Moor Burnley,4000
1888-10-06,5,Everton,2,Aston Villa,0,Anfield Liverpool,10000
