Loaded 173 location->postcode mappings

Club,Year,Area,Postcode
"Norfolk FC",1861,"Norfolk Park",S2
"York FC",1861,"Broomhill",S10
"Norton FC",1861,"Norton",S8
"Pitsmoor FC",1861,"Pitsmoor",S4
"Fir Vale FC",1862,"Pitsmoor",S4
"Heeley Christ Church FC",1862,"Meersbrook",S8
"Mackenzie FC",1862,"Heeley",S2
"Ranmoor FC",1862,"Ranmoor",S10
"St Stephen FC",1862,"Netherthorpe",S3
"Crabtree FC",1863,"Fir Vale",S5
"Broomhall FC",1863,"Ecclesall",S11
"United Mechanics",1865,"Norfolk Park",S2
"Loxley FC",1866,"Loxley",S6
"Wednesday FC",1867,"Hillsborough",S6
"Dore FC",1867,"Dore",S17
"Hanover United FC",1868,"Crookes",S10
"Oxford FC",1869,"Ecclesall",S11
"Totley FC",1869,"Totley",S17
"St James Church FC",1869,"Norton Lees",S8
"Walkey New Connexion FC",1870,"Hillsborough",S6
"Alliance FC",1870,"Norfolk Park",S2
"Perseverance FC",1870,"Norfolk Park",S2
"Gleadless FC",1870,"Gleadless",S12
"Grimesthorpe FC",1871,"Grimesthorpe",S4
"Albion FC",1872,"Ecclesall",S11
"Sharrow Rangers FC",1873,"Sharrow",S11
"Endcliﬀe FC",1873,"Ecclesall",S11
"Philadelphia FC",1873,"Hillsborough",S6
"Intake FC",1873,"Intake",S12
"Oughtibridge FC",1873,"Oughtibridge",S35
"Crosspool Rangers FC",1873,"Crosspool",S10
"Grange FC",1873,"Intake",S12
"Pitsmoor Coal Company FC",1873,"Brightside",S9
"Boston Street FC",1873,"Heeley",S2
"Sherrington FC",1873,"Norfolk Park",S2
"Carnforth FC",1874,"Sharrow",S11
"Providence FC",1874,"Park Hill",S2
"Woodseats FC",1874,"Woodseats",S8
"Oak Street FC",1874,"Heeley",S2
"Heeley Victoria FC",1874,"Heeley",S2
"Regents Works FC",1874,"Penistone",S36
"Polar Star FC",1874,"Norfolk Park",S2
"Norton Mount View FC",1874,"Norton Lees",S8
"Sir John Brown’s FC",1874,"Osgathorpe",S4
"St Silas FC",1874,"Broomhall",S10
"Ecclesall Church FC",1874,"Ecclesall",S11
"Owlerton United FC",1874,"Wadsley Bridge",S6
"Deep Pits FC",1874,"Manor",S2
"Montague FC",1874,"Sharrow",S11
"Stanley Street FC",1875,"Norfolk Park",S2
"Manor FC",1875,"Manor",S2
"St Philip’s FC",1875,"Netherthorpe",S3
"Hope Club",1875,"Hope",S33
"Ward & Payne’s FC",1875,"Hillsborough",S6
"Harold FC",1875,"Walkley",S6
"Aston FC",1875,"Aston",S33
"South View FC",1875,"Sharrow",S11
"Ecclesall United FC",1875,"Ecclesall",S11
"Oxford Wanderers FC",1875,"Norfolk Park",S2
"Wincobank FC",1875,"Wincobank",S9
"Alexandra FC",1875,"Heeley",S2
"Howard Street FC",1875,"Heeley",S2
"Hillsborough / Hillsborough School FC",1875,"Hillsborough",S6
"Belleﬁeld FC",1875,"Netherthorpe",S3
"Red Rose FC",1875,"Pitsmoor",S4
"Ebernezer Reform FC",1875,"Neepsend",S3
"Bee Hive Works FC",1875,"Neepsend",S3
"Cornish Place FC",1875,"Neepsend",S3
"Woodhouse FC",1875,"Woodhouse",S13

Matched: 69
Unmatched: 109
